Apellido Paterno,Apellido Materno,Nombre,Fecha de Registro,Actividad,Código Cliente,Código Segmento,Estado,DNI,Fraude,Sigla
Martínez,Rodríguez,Sofía,2020-09-15,Independiente,C000000,D,Suspendido,77293753,Fraude 38,VL1
Sánchez,Rodríguez,Carlos,2021-04-27,Empleado,C000001,A,Inactivo,67098866,Fraude 93,VL1
Fernández,Sánchez,Ana,2021-10-11,Estudiante,C000002,D,Inactivo,17769034,Fraude 97,VL1
López,Martínez,Miguel,2020-01-08,Estudiante,C000003,E,Activo,97659835,Fraude 74,PCO
López,González,Ana,2020-06-30,Independiente,C000004,C,Inactivo,70706788,Fraude 52,PCO
Díaz,Martínez,Juan,2020-01-03,Comerciante,C000005,B,Activo,45369673,Fraude 6,PCO
Martínez,Díaz,Andrés,2024-08-21,Empresario,C000006,A,Suspendido,12007274,Fraude 33,PEF
Sánchez,Rodríguez,Carlos,2021-10-03,Estudiante,C000007,B,Suspendido,38934563,Fraude 56,BSO
Pérez,Fernández,Elena,2020-05-14,Empresario,C000008,D,Activo,49423269,Fraude 52,VL1
Pérez,Rodríguez,Elena,2022-04-05,Empleado,C000009,E,Activo,27342411,Fraude 67,PEF
González,Fernández,Ana,2021-02-26,Empleado,C000010,E,Suspendido,55350190,Fraude 9,BFO
Sánchez,González,Juan,2023-02-20,Empleado,C000011,E,Inactivo,93356617,Fraude 38,BPR
Ramírez,González,Valeria,2024-07-20,Agricultor,C000012,D,Inactivo,15865799,Fraude 86,PEF
González,Rodríguez,Sofía,2021-03-27,Comerciante,C000013,D,Suspendido,73750199,Fraude 88,BFO
Rodríguez,Sánchez,Andrés,2021-04-19,Empleado,C000014,B,Activo,58633202,Fraude 38,BPR
Gómez,López,Juan,2021-08-29,Agricultor,C000015,B,Activo,45161667,Fraude 26,PCO
Gómez,Pérez,Ana,2024-11-29,Comerciante,C000016,B,Activo,90061468,Fraude 3,BFO
Díaz,Gómez,Miguel,2021-10-03,Comerciante,C000017,B,Inactivo,59035756,Fraude 44,VL1
Ramírez,Pérez,Andrés,2023-09-01,Comerciante,C000018,E,Suspendido,40687969,Fraude 59,PEF
Gómez,Ramírez,María,2020-06-27,Comerciante,C000019,B,Activo,95251660,Fraude 46,BPR
López,Gómez,Sofía,2020-08-14,Independiente,C000020,E,Activo,12179470,Fraude 45,BSO
Martínez,Ramírez,Andrés,2022-11-22,Empleado,C000021,D,Suspendido,60223992,Fraude 61,VL1
López,Fernández,Sofía,2021-09-12,Comerciante,C000022,D,Activo,64876384,Fraude 43,PCO
Sánchez,Rodríguez,Valeria,2020-04-19,Empleado,C000023,A,Activo,17907410,Fraude 25,BPR
Martínez,Martínez,Valeria,2022-01-30,Comerciante,C000024,E,Suspendido,93212700,Fraude 90,BPR
Gómez,Pérez,Juan,2020-07-14,Agricultor,C000025,B,Activo,15691953,Fraude 79,BFO
González,González,Carlos,2023-05-26,Empresario,C000026,E,Activo,82867653,Fraude 27,BFO
Gómez,Pérez,Valeria,2023-07-16,Agricultor,C000027,A,Activo,24448951,Fraude 20,BFO
González,Sánchez,Valeria,2020-06-20,Comerciante,C000028,A,Activo,95913771,Fraude 16,PCO
Ramírez,González,Carlos,2024-09-18,Agricultor,C000029,E,Inactivo,60639922,Fraude 94,VL1
Martínez,Gómez,Valeria,2020-01-19,Independiente,C000030,A,Suspendido,21143472,Fraude 69,BSO
Ramírez,González,Elena,2020-07-25,Docente,C000031,D,Activo,18586006,Fraude 38,PEF
González,Fernández,Carlos,2022-03-01,Independiente,C000032,B,Activo,11039018,Fraude 10,BFO
López,Pérez,Sofía,2022-11-27,Comerciante,C000033,C,Activo,10380510,Fraude 74,VL1
Rodríguez,Rodríguez,Luis,2023-09-13,Comerciante,C000034,C,Suspendido,54875023,Fraude 31,VL1
Martínez,Pérez,Juan,2022-06-08,Estudiante,C000035,A,Inactivo,33756682,Fraude 75,BPR
López,González,María,2024-10-03,Comerciante,C000036,B,Inactivo,31821449,Fraude 63,BFO
Martínez,Martínez,Andrés,2021-05-22,Comerciante,C000037,C,Activo,81028783,Fraude 70,PEF
González,Rodríguez,Juan,2024-01-10,Independiente,C000038,D,Inactivo,67338253,Fraude 86,BFO
Ramírez,Gómez,Juan,2020-07-03,Empresario,C000039,D,Activo,86569677,Fraude 4,PCO
Fernández,Rodríguez,Luis,2022-03-12,Docente,C000040,C,Activo,96526957,Fraude 86,VL1
Díaz,Martínez,Luis,2021-04-09,Docente,C000041,D,Suspendido,48752245,Fraude 95,BPR
Ramírez,Rodríguez,Sofía,2023-06-05,Comerciante,C000042,A,Suspendido,86275662,Fraude 25,BFO
Gómez,López,Elena,2023-08-20,Estudiante,C000043,C,Suspendido,64037791,Fraude 77,BSO
Díaz,Rodríguez,Elena,2022-02-20,Independiente,C000044,C,Inactivo,56199925,Fraude 72,BPR
Sánchez,Gómez,Juan,2021-04-08,Estudiante,C000045,C,Activo,52818437,Fraude 82,BSO
Pérez,González,Miguel,2021-03-22,Estudiante,C000046,D,Suspendido,51012686,Fraude 91,VL1
Sánchez,Martínez,Carlos,2020-08-08,Independiente,C000047,A,Suspendido,54910409,Fraude 91,PCO
Martínez,Sánchez,Carlos,2021-10-09,Docente,C000048,D,Activo,61630631,Fraude 55,BFO
Fernández,Pérez,Valeria,2022-07-01,Empresario,C000049,C,Activo,80542637,Fraude 43,BSO
López,López,Luis,2021-12-04,Empresario,C000050,A,Suspendido,40859973,Fraude 75,PCO
Martínez,González,Elena,2022-05-20,Estudiante,C000051,E,Suspendido,91737156,Fraude 4,PCO
Sánchez,Sánchez,Andrés,2024-12-30,Docente,C000052,C,Suspendido,89008139,Fraude 52,BSO
Gómez,Gómez,Ana,2021-10-21,Docente,C000053,D,Inactivo,60454879,Fraude 6,BSO
Rodríguez,Fernández,Juan,2020-09-20,Comerciante,C000054,A,Suspendido,27090543,Fraude 61,PCO
López,Pérez,Andrés,2022-08-07,Empleado,C000055,E,Inactivo,42386624,Fraude 40,BSO
Gómez,Ramírez,Valeria,2020-03-10,Docente,C000056,E,Suspendido,32105582,Fraude 50,BPR
Sánchez,González,Valeria,2022-10-15,Empleado,C000057,B,Inactivo,59662404,Fraude 20,PCO
Gómez,López,Miguel,2020-03-18,Independiente,C000058,A,Suspendido,64893393,Fraude 49,PEF
López,López,Luis,2024-08-29,Independiente,C000059,D,Activo,14688181,Fraude 65,BFO
López,Rodríguez,Andrés,2020-07-04,Estudiante,C000060,B,Suspendido,65379408,Fraude 6,VL1
Fernández,Gómez,Valeria,2020-10-03,Comerciante,C000061,E,Inactivo,91652926,Fraude 53,PCO
López,Rodríguez,Ana,2021-05-15,Docente,C000062,A,Suspendido,10962191,Fraude 51,BPR
López,Fernández,Elena,2022-06-24,Comerciante,C000063,E,Inactivo,97704743,Fraude 82,VL1
Fernández,Gómez,María,2024-12-21,Independiente,C000064,C,Activo,18219905,Fraude 95,PCO
González,Martínez,Elena,2024-08-24,Empleado,C000065,C,Inactivo,25540892,Fraude 65,BFO
Díaz,Fernández,Miguel,2022-09-19,Empleado,C000066,D,Suspendido,23355289,Fraude 59,PEF
Pérez,Ramírez,Carlos,2022-12-22,Estudiante,C000067,A,Activo,68026181,Fraude 20,PCO
Sánchez,Sánchez,Carlos,2023-01-06,Empresario,C000068,D,Suspendido,77020516,Fraude 88,BPR
Sánchez,Sánchez,Carlos,2020-09-24,Empresario,C000069,A,Activo,95023860,Fraude 89,PCO
Díaz,Fernández,Sofía,2020-12-10,Empresario,C000070,B,Suspendido,83667873,Fraude 53,BFO
Díaz,Rodríguez,Valeria,2023-01-28,Comerciante,C000071,B,Suspendido,57302044,Fraude 20,BSO
Rodríguez,Pérez,Ana,2020-06-14,Independiente,C000072,B,Inactivo,12280564,Fraude 56,BFO
Rodríguez,Pérez,Sofía,2022-04-22,Empresario,C000073,B,Inactivo,23776690,Fraude 62,BSO
Martínez,González,Ana,2022-01-11,Agricultor,C000074,C,Activo,25669513,Fraude 50,BFO
López,Ramírez,Ana,2022-07-04,Comerciante,C000075,A,Activo,23252012,Fraude 86,BSO
González,Pérez,Andrés,2021-11-16,Agricultor,C000076,C,Inactivo,70390342,Fraude 55,BFO
Díaz,López,Luis,2023-04-04,Estudiante,C000077,B,Suspendido,66444076,Fraude 11,PCO
López,Rodríguez,Sofía,2021-01-20,Empleado,C000078,A,Suspendido,74195225,Fraude 6,BPR
Rodríguez,González,María,2024-08-10,Empleado,C000079,E,Activo,56914099,Fraude 95,BSO
Pérez,González,Elena,2020-07-26,Docente,C000080,D,Inactivo,12527230,Fraude 2,PCO
Ramírez,Gómez,Sofía,2020-06-26,Empleado,C000081,D,Inactivo,27828286,Fraude 100,VL1
López,Ramírez,Sofía,2024-06-28,Independiente,C000082,B,Activo,64489692,Fraude 31,BSO
Gómez,Rodríguez,María,2020-07-08,Agricultor,C000083,A,Activo,42822422,Fraude 54,BFO
Rodríguez,Gómez,Carlos,2024-08-30,Comerciante,C000084,D,Inactivo,80598324,Fraude 21,PEF
López,Sánchez,Carlos,2024-07-05,Empresario,C000085,E,Inactivo,55991564,Fraude 100,BPR
Martínez,Martínez,Elena,2023-04-20,Empleado,C000086,A,Activo,52048887,Fraude 17,PEF
